latitude,longitude,tags,street_name,street_counter
43.7211779,10.3914214,"{'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Giunta Pisano', 'name:etymology:wikidata': 'Q975500', 'oneway': 'yes', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Bonanno Pisano, Via Giunta Pisano",2
43.7221479,10.3882131,"{'highway': 'residential', 'maxspeed:type': 'IT:urban', 'name': 'Via Diotisalvi', 'name:etymology:wikidata': 'Q763522', 'oneway': 'yes', 'surface': 'asphalt'}","Via Andrea Pisano, Via Diotisalvi, Via Giunta Pisano",3
43.7229513,10.3982212,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'motor_vehicle': 'permit', 'name': 'Via Cardinale Pietro Maffi', 'name:etymology:wikidata': 'Q1124206', 'oneway': 'yes', 'sidewalk:left': 'separate', 'sidewalk:right': 'yes', 'surface': 'asphalt'}","Via San Ranierino, Via Cardinale Pietro Maffi",2
43.7228801,10.3985253,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'motor_vehicle': 'permit', 'name': 'Via Cardinale Pietro Maffi', 'name:etymology:wikidata': 'Q1124206', 'oneway': 'yes', 'sidewalk:left': 'separate', 'sidewalk:right': 'yes', 'surface': 'asphalt'}","Via Cardinale Pietro Maffi, Via Ugo Camozzo",2
43.7160043,10.3879857,"{'highway': 'secondary', 'name': 'Via Bonanno Pisano', 'name:etymology:wikidata': 'Q892084', 'surface': 'asphalt'}","Via Bonanno Pisano, Via dei Macelli",2
43.7164088,10.3882581,"{'highway': 'secondary', 'name': 'Via Bonanno Pisano', 'name:etymology:wikidata': 'Q892084', 'surface': 'asphalt'}","Via Bonanno Pisano, Via dei Macelli",2
43.7181759,10.3894504,"{'highway': 'secondary', 'name': 'Via Bonanno Pisano', 'name:etymology:wikidata': 'Q892084', 'surface': 'asphalt'}","Via Turino Vanni, Via Bonanno Pisano, Via Rustichello da Pisa",3
43.7228292,10.3922295,"{'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Andrea Pisano', 'name:etymology:wikidata': 'Q311031', 'oneway': 'yes', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Andrea Pisano, Via Bonanno Pisano, Via G. Battista Niccolini",3
43.7228531,10.3898198,"{'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Andrea Pisano', 'name:etymology:wikidata': 'Q311031', 'oneway': 'yes', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Andrea Pisano, N/A",2
43.7228368,10.3895119,"{'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Andrea Pisano', 'name:etymology:wikidata': 'Q311031', 'oneway': 'yes', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Andrea Pisano, Via Vecchia Barbaricina",2
43.7225026,10.3984423,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'maxspeed:type': 'IT:zone30', 'name': 'Via Ugo Camozzo', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Piazza dell'Arcivescovado, Via Ugo Camozzo",2
43.7217743,10.3997097,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Ferdinando Capponi', 'name:etymology:wikidata': 'Q3742568', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via San Tommaso, Via Ferdinando Capponi",2
43.721923,10.399224,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Ferdinando Capponi', 'name:etymology:wikidata': 'Q3742568', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via Ferdinando Capponi, Via Uguccione della Faggiola",2
43.7212777,10.4003564,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Martiri', 'name:etymology:wikidata': 'Q6498826', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via dei Martiri, Via Ferdinando Capponi",2
43.7198717,10.3996002,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Martiri', 'name:etymology:wikidata': 'Q6498826', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via Dalmazia, Via dei Martiri",2
43.7181135,10.3998918,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Piazza San Frediano', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza San Frediano, Via Tavoleria",2
43.7181338,10.3998928,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Piazza San Frediano', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza San Frediano, Via San Frediano",2
43.7170206,10.3916516,"{'bicycle': 'yes', 'highway': 'residential', 'maxspeed': '30', 'name': 'Via Nicola Pisano', 'name:etymology:wikidata': 'Q364413', 'oneway': 'yes', 'surface': 'asphalt'}","Via Rustichello da Pisa, Via Enrico Fermi, Via Nicola Pisano",3
43.7165557,10.3915297,"{'bicycle': 'yes', 'highway': 'residential', 'maxspeed': '30', 'name': 'Via Nicola Pisano', 'name:etymology:wikidata': 'Q364413', 'oneway': 'yes', 'surface': 'asphalt'}","Via Volturno, Via Nicola Pisano",2
43.7181507,10.3895351,"{'highway': 'residential', 'lanes': '2', 'lanes:forward': '1', 'lanes:psv:backward': '1', 'maxspeed': '30', 'name': 'Via Rustichello da Pisa', 'name:etymology:wikidata': 'Q366741', 'oneway': 'yes', 'oneway:psv': 'no', 'surface': 'asphalt'}","Via Pietro da Pisa, Via Rustichello da Pisa",2
43.7197737,10.3956139,"{'access:lanes': 'yes|hospital', 'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Via Paolo Savi', 'name:etymology:wikidata': 'Q2356835', 'oneway': 'yes', 'surface': 'asphalt'}","Via Paolo Savi, Via Roma",2
43.7198919,10.3929772,"{'access:lanes': 'yes|hospital', 'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Via Paolo Savi', 'name:etymology:wikidata': 'Q2356835', 'oneway': 'yes', 'surface': 'asphalt'}","Via Paolo Savi, Via Nicola Pisano",2
43.7181988,10.3925435,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Risorgimento', 'name:etymology:wikidata': 'Q51122', 'surface': 'asphalt', 'wikidata': 'Q122619368'}","Via Risorgimento, Via Nicola Pisano",2
43.720987,10.3886822,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Cimabue', 'name:etymology:wikidata': 'Q15790', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Diotisalvi, Via Cimabue",2
43.7196471,10.3879154,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Cimabue', 'name:etymology:wikidata': 'Q15790', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Carlo Francesco Gabba, Via Cimabue",2
43.7198206,10.3989136,"{'foot': 'designated', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Mille', 'name:etymology:wikidata': 'Q228284', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'right', 'sidewalk:right:surface': 'asphalt', 'smoothness': 'intermediate', 'surface': 'asphalt'}","Piazza Francesco Buonamici, Via dei Mille, Via Corsica, Via Uguccione della Faggiola",4
43.7199116,10.3977601,"{'foot': 'designated', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Mille', 'name:etymology:wikidata': 'Q228284', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'right', 'sidewalk:right:surface': 'asphalt', 'smoothness': 'intermediate', 'surface': 'asphalt'}","Via dei Mille, Piazza Felice Cavallotti",2
43.7166398,10.3998939,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'moped': 'yes', 'motorcycle': 'yes', 'motor_vehicle': 'designated', 'name': 'Via Curtatone e Montanara', 'name:etymology:wikidata': 'Q3636414', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Lungarno Antonio Pacinotti, Via Curtatone e Montanara",2
