source,target,weight,count
0,1,10000,0
0,16,10000,0
0,31,10000,0
0,34,10000,0
0,35,10000,0
0,44,10000,0
0,64,10000,0
0,85,10000,0
0,90,10000,0
0,91,10000,0
0,97,10000,0
1,0,10000,0
1,35,10000,0
1,44,10000,0
1,80,10000,0
1,90,10000,0
1,91,10000,0
1,97,10000,0
2,3,10000,0
2,6,10000,0
2,7,10000,0
2,8,10000,0
2,9,10000,0
2,10,10000,0
2,94,10000,0
2,96,10000,0
3,2,10000,0
3,10,10000,0
3,11,10000,0
3,12,10000,0
3,40,10000,0
3,46,10000,0
3,92,10000,0
3,96,10000,0
3,101,10000,0
4,5,10000,0
4,21,10000,0
4,87,10000,0
4,93,10000,0
5,4,10000,0
5,21,10000,0
5,24,10000,0
5,87,10000,0
6,2,10000,0
6,7,10000,0
6,8,10000,0
6,9,10000,0
6,10,10000,0
6,85,10000,0
6,94,10000,0
6,96,10000,0
7,2,10000,0
7,6,10000,0
7,8,10000,0
7,9,10000,0
7,10,10000,0
7,94,10000,0
7,96,10000,0
8,2,10000,0
8,6,10000,0
8,7,10000,0
8,9,10000,0
8,10,10000,0
8,94,10000,0
8,96,10000,0
9,2,10000,0
9,6,10000,0
9,7,10000,0
9,8,10000,0
9,10,10000,0
9,32,10000,0
9,61,10000,0
9,94,10000,0
9,96,10000,0
10,2,10000,0
10,3,10000,0
10,6,10000,0
10,7,10000,0
10,8,10000,0
10,9,10000,0
10,11,10000,0
10,12,10000,0
10,17,10000,0
10,94,10000,0
10,96,10000,0
11,3,10000,0
11,10,10000,0
11,12,10000,0
11,17,10000,0
12,3,10000,0
12,10,10000,0
12,11,10000,0
12,17,10000,0
13,14,10000,0
13,15,10000,0
13,20,10000,0
13,21,10000,0
13,22,10000,0
13,23,10000,0
13,93,10000,0
14,13,10000,0
14,15,10000,0
14,30,10000,0
14,39,10000,0
15,13,10000,0
15,14,10000,0
16,0,10000,0
16,32,10000,0
16,36,10000,0
16,58,10000,0
16,67,10000,0
16,73,10000,0
16,78,10000,0
16,86,10000,0
17,10,10000,0
17,11,10000,0
17,12,10000,0
17,23,10000,0
18,19,10000,0
18,54,10000,0
19,18,10000,0
19,20,10000,0
20,13,10000,0
20,19,10000,0
20,21,10000,0
21,4,10000,0
21,5,10000,0
21,13,10000,0
21,20,10000,0
21,87,10000,0
22,13,10000,0
22,23,10000,0
22,93,10000,0
23,13,10000,0
23,17,10000,0
23,22,10000,0
23,53,10000,0
23,93,10000,0
24,5,10000,0
24,99,10000,0
24,100,10000,0
25,26,10000,0
25,27,10000,0
25,87,10000,0
25,99,10000,0
26,25,10000,0
26,27,10000,0
26,42,10000,0
26,62,10000,0
26,99,10000,0
