id,latitude,longitude,street_name,street_counter
0,43.7156025,10.3949766,Lungarno Antonio Pacinotti; Piazza Solferino; Ponte Solferino; Lungarno Ranieri Simonelli,4
1,43.7158105,10.3955213,Lungarno Antonio Pacinotti; Via del Buongusto,2
2,43.7211779,10.3914214,Via Bonanno Pisano; Via Giunta Pisano,2
3,43.7221479,10.3882131,Via Andrea Pisano; Via Diotisalvi; Via Giunta Pisano,3
4,43.7229513,10.3982212,Via Cardinale Pietro Maffi; Via San Ranierino,2
5,43.7228801,10.3985253,Via Cardinale Pietro Maffi; Via Ugo Camozzo,2
6,43.71338,10.3888137,Via Bonanno Pisano; Piazza di Terzanaia; Lungarno Giacomo Leopardi,3
7,43.7160043,10.3879857,Via Bonanno Pisano; Via dei Macelli,2
8,43.7164088,10.3882581,Via Bonanno Pisano; Via dei Macelli,2
9,43.7181759,10.3894504,Via Rustichello da Pisa; Via Bonanno Pisano; Via Turino Vanni; Via Pietro da Pisa,4
10,43.7228292,10.3922295,Via G. Battista Niccolini; Via Bonanno Pisano; Via Andrea Pisano,3
11,43.722951,10.3897496,Via Vecchia Barbaricina; Via Andrea Pisano,2
12,43.7228368,10.3895119,Via Vecchia Barbaricina; Via Andrea Pisano,2
13,43.7228354,10.4017621,Via Luigi Bianchi; Largo del Parlascio; Via Contessa Matilde; Via del Brennero,4
14,43.7241928,10.402379,Via Luigi Bianchi; Via Santo Stefano,2
15,43.7245985,10.4024017,Via Luigi Bianchi; Via Giuseppe Cesare Abba,2
16,43.7161567,10.394714,Piazza Solferino; Via Enrico Fermi; Via Roma,3
17,43.7236889,10.3919032,Via G. Battista Niccolini; Via Carlo Salomone Cammeo; Via Vecchia Barbaricina,3
18,43.7196742,10.4021804,Via Canto del Nicchio; Via San Lorenzo; Via Giosuè Carducci,3
19,43.7214562,10.4021771,Via Santa Caterina; Via Carlo Fedeli; Via Giosuè Carducci,3
20,43.7219085,10.4021025,Largo del Parlascio; Via Carlo Fedeli,2
21,43.7221886,10.401703,Via Cardinale Pietro Maffi; Largo del Parlascio,2
22,43.7240033,10.397229,Via Piave; Via Contessa Matilde,2
23,43.724978,10.391168,Rotatoria Lorenzo Poggi; Via Contessa Matilde; Via Carlo Salomone Cammeo; Via Marinello Nelli; Via Pietrasantina; Viale delle Cascine,6
24,43.7225026,10.3984423,Via Ugo Camozzo; Piazza dell'Arcivescovado,2
25,43.7217743,10.3997097,Via Ferdinando Capponi; Via San Tommaso,2
26,43.721923,10.399224,Via Uguccione della Faggiola; Via Ferdinando Capponi,2
27,43.7212777,10.4003564,Via dei Martiri; Via San Giuseppe; Via Ferdinando Capponi,3
28,43.7198717,10.3996002,Via dei Martiri; Via Dalmazia,2
29,43.7181135,10.3998918,Via San Frediano; Piazza San Frediano; Via Tavoleria,3
30,43.7240077,10.3992421,Via Antonio Rosmini; Via Santo Stefano,2
31,43.7154022,10.3945081,Via Volturno; Lungarno Ranieri Simonelli,2
32,43.7170206,10.3916516,Via Rustichello da Pisa; Via Nicola Pisano; Via Enrico Fermi,3
33,43.7165557,10.3915297,Via Nicola Pisano; Via Volturno,2
34,43.7140821,10.3906849,Via Nicola Pisano; Lungarno Ranieri Simonelli,2
35,43.7162818,10.4021489,Lungarno Antonio Pacinotti; Lungarno Mediceo; Ponte di Mezzo,3
36,43.7197737,10.3956139,Via Paolo Savi; Via Roma,2
37,43.7198919,10.3929772,Via Paolo Savi; Via Nicola Pisano,2
38,43.7181988,10.3925435,Via Risorgimento; Via Nicola Pisano,2
39,43.7238789,10.4013326,Via Sant'Ansano; Via Santo Stefano,2
40,43.720987,10.3886822,Via Cimabue; Via Diotisalvi,2
41,43.7196471,10.3879154,Via Cimabue; Via Carlo Francesco Gabba,2
42,43.7198206,10.3989136,Via dei Mille; Via Uguccione della Faggiola; Via Corsica; Piazza Francesco Buonamici,4
